Id,Predicted
47,MOST ECONOMISTS SAY THAT THE EARTH SAY IT IS SEALED
48,THE FIVE BILLION YEARS FROM NOW TO CENTRAL STILL ONLY SLIGHTLY WORSE THAN THE HUGE DESIRABLE
49,THE GATES AND FOREIGN ORDERS WERE DESIGNED FOR A SMALLER AIRCRAFT
50,THIS IS ESPECIALLY TRUE IN THE WORKS OF BRITISH NOVELIST AND EVEN THE PREVIOUSLY IN THE WORK OF WILLIAM BORDERS
51,UNDER SEND AND RECEIVE THREE TRANSPORT SHOT DOWN MONDAY BY A HUNDRED AND FIVE YEARS APPARENTLY WAS CARRYING DRUGS FROM COLOMBIA
52,A PILOT AND AMERICAN AND TWO OTHERS ABOARD DIED IN THE CRASH
53,OFFICIALS AND TO GO MR. GARTMAN SAID THE PLANE IGNORED REQUESTS TO LAND AFTER ENTERING HUNDRED AND AEROSPACE
54,MR. MARTIN RECENTLY DEPARTED FROM THE FED TOLD MR. SIMON DIDN'T RIDE TO WASHINGTON NATIONAL AIRPORT AND THAT HE MIGHT START A PRIVATE MORTGAGE INSURANCE CONCERN
55,INSTEAD MR. SIMON'S PERSUADED HIM TO JOIN HIS GROUP BUT THE CHIEF EXECUTIVE OFFICER OF THE VARIOUS HOLDING COMPANIES TO BE SET UP TO ONE REACHED THRIFT
56,THE STORIES OF THE LEFT WING AND TRUCKS OF BRITAIN'S LOCAL GOVERNMENTS HAVE APPEARED IN THE BRITISH PRESS FOR SEVERAL YEARS
57,IN RECENT WEEKS FOR EXAMPLE LEADERS HERE HAVE HEARD OF THE BANNING OF ANTI VIRAL STROKES IN ONE LONDON BUREAU
58,THEY'VE LEARNED OF THE BOOK DISTRIBUTED IN ANOTHER BUREAUCRAT SUGGESTS THE STREAM SEPARATE ABOUT A LITTLE BOY WHO CHALLENGE THE SEXES AND BY DRESSING SAYS THE GRILL
59,THE BRITISH PUBLIC HAS GOTTEN USED TO ENJOIN SUCH BALLOONING LEFT TO STORIES AS PART OF ITS REGULAR NEWSPAPER DIET
60,BUT THERE'S AN UGLY SIDE TO WHAT'S GOING ON IN LOCAL GOVERNMENTS THAT DESERVES CLOSER ATTENTION
61,U. S. EXPORTS ROSE IN THE MONTH BUT NOT NEARLY AS MUCH AS IMPORTS
62,THE STRONG IMPORTS HOWEVER MEAN THAT DOMESTIC DEMAND RIGHT NOW IS STRONG AND ONE SURE WAY TO CURB TRADE DEFICIT IS TO HAVE A FULL BLOWN RECESSION
63,TRADE DEFICITS WEEKEND THE DOLLAR AS THEY DID LAST WEEK AND IN THE SHORT RUN A WEAKER DOLLAR MEANS MORE HELP FOR EXPORTS
64,IN THE LONGER RUN THE WEAK DOLLAR MAY MEAN MORE INFLATION AND TIGHTER MONEY AND EVENTUALLY A RECESSION
65,RIGHT NOW HOWEVER THE ECONOMY APPEARS STILL TO BE GROWING
66,FOR MANY JAPANESE COMPANIES IT WAS THE FIRST TIME THEY'VE NEVER SEEN AN AMERICAN INVESTORS SAYS MR. ARON
67,PERRY DISCOVERED JAPAN AND FOR AMERICANS ACTUALLY IT WAS UNCLEAR AND HE QUIPS
68,MR. HOLMES A COURT SAID HE PLANS TO REVIEW THE STRUCTURE OF BELL GROUP
69,IT MAY BE THAT ARE STRUCTURED AND MULTIPLY CITY OF CORPORATIONS ISN'T THE MOST EFFECTIVE FOR THE FUTURE
70,NOTE FROM A PLANT HAS BEEN ADVISED THAT IT IS UNDER CONSIDERATION TO REVIEW THE WHOLE STRUCTURE HE SAID
71,MR. ROBERTSON CAN BEST BE UNDERSTOOD NOT AS THE NEW FIGURE IN THE CONSERVATIVE MOVEMENT THAT HAS THE AIR OF THE POPULIST AND FIVE OTHER HEARTLAND
72,AS THE POPULIST STAND HE APPEALED TO A LESS EDUCATED LOWER MIDDLE CLASS PEOPLE WHO FIND ECONOMIC AND SOCIAL CHANGE FRIGHTENING
73,A POPULIST MEETINGS HAD A REVIVAL OF ITS FLAVOR WITH BANNERS URGING PEOPLE TO VOTE HIS THEY TRADED
74,THE COMPANY DECLINED TO COMMENT ON THE RESULTS
75,PAINEWEBBER SAYS MR. MCLEAN SAID A SPECIAL PROMOTIONS BOOSTED YEAR EARLIER SALES SIGNIFICANTLY MAKING IT HARD TO ACHIEVE GAINS IN THE LATEST PERIOD
76,HE HAD BEEN SENIOR VICE PRESIDENT OF WASHINGTON OPERATIONS FOR THE DEFENSE CONTRACTOR
77,PETER F. BARRY SUCCEEDS MR. KINNEAR AND WASHINGTON AS A VICE PRESIDENT
78,MR. BARRE HAD BEEN PRESIDENT OF HEARTLAND SYSTEMS A UNIT OF FIGGIE INTERNATIONAL INCORPORATED
79,NOW IT SEEMS IS TRYING TO MAKE DEMANDS
80,IT INVITED RESIDENTS TO JOIN A COMMITTEE TO AIR THEIR GRIEVANCES AGAINST THE COMPANY AND DISCUSS SOLUTIONS
81,THE COMPANY ALSO DONATED FIFTY THOUSAND DOLLARS TO THE LOCAL ENVIRONMENTAL GROUPS TO HIRE SPECIALISTS TO EVALUATE THE COMPANY'S PLANS TO CLEAN UP CONTAMINATED SITES
82,CONSULTANTS NOTICED IN THE MISSION IN THE PLAN IS THAT NEITHER THE COMPANY NOR THE FEDERAL REGULATORS HAVE SUPPORTED
83,CIBA AGREED TO REMEDY THE OVERSIGHT
84,N. A. S. A. SCHEDULES OF THE LAUNCH OF THE SPACE SHUTTLE DISCOVERY FOR SEPTEMBER TWENTY NINTH
85,THE SHUTTLE WOULD BE THE FIRST TO LIFT OFF SINCE THE NINETEEN EIGHTY SIX CHALLENGER EXPLOSION
86,THE PLANT HAD BEEN PLANNED FOR EARLIER THIS YEAR BUT DESCRIBED BY THE SPACE AGENCY ABOUT FIVE TIMES BECAUSE OF DESIGN AND OTHER DISEASES
87,BUT HE HAS DONE VERY WELL FOR STOCKHOLDERS
88,BUT IT'S DIFFICULT TO SEE WHERE THE COMPANY GOES FROM HERE
89,THE PARTY AND AUTOMOBILE INDUSTRIES AREN'T THE ONLY ONES THAT HAVE LITERALLY ADVANTAGES AND TECHNOLOGY FOR DESIGN AND SELL IT THAT WAY
90,BRITISH APPLIANCE MAKERS HAVE LOST GROUND TO CONTINENTAL EUROPEANS WHO HAS ESTABLISHED A REPUTATION FOR DESIGN AND QUALITY STANDARDS
91,TELEVISION SET MAKERS REGULARLY SCHEDULED T. V. PROGRAMMING BEGAN HERE THAT HAVE LOST OUT TO THE JAPANESE AND EUROPEANS
92,BRITISH COMPUTER BRANDS LIKE SAINT CLAIR AND A CURRENT HAVE BALLOONED BUT QUICKLY FADED
93,IT WILL SELL EX DIVIDEND AT A LATER DATE
94,FOR MONTHS HE HAD SUFFERED NINE CENTS A FEW YEARS AND WEIGHT LOSS
95,STILL FINALLY TO THE WORLD NEED NEW YORKER HAD HIS BLOOD TESTED FOR EVIDENCE OF THE AIDS VIRUS
96,THE RESULT WAS A POSITIVE
97,HE AND OTHER U. S. INDUSTRY LEADERS AND SISTER TOLD THAT IMPORTS SHOULD BE SUBJECT TO THE SAME DEGREE OF SCRUTINY
98,INSTEAD WHAT THEY FAVOR AN ANNOUNCER CHECKS BY ROLLING RATHER THAN IN THE HOUSE INSPECTORS ARE FOCUSING ON THE CRITICAL CONTROL POINTS AND SEAFOOD PROCESSING
99,MR. OLIVER SAID THAT THE FIRST PHASE OUT ITS YIELD
100,THE STRONG NUMBERS CAN'T TELL WHETHER THE UNIVERSAL EXPAND THE REVEREND POWERED BY THE BIG BUYING OF GOLD OR WHETHER IT WILL SOMEDAY COLLAPSED INTO AN UPROAR POLITICAL BIG CRUNCH
101,PROMPTED BY NEWS REPORTS OF ALLEGED MISAPPROPRIATION OF FUNDS TO THE S. E. C. HAS VISITED THE FIRM'S NEW YORK HEADQUARTERS LAST WEEK WITH THE INTENTION OF EXAMINING A BUSINESS RECORDS
102,INSTEAD IT SAID IT FOUND THAT A FASHION DESIGNER FROM DE MIGUEL CRUZ INTERNATIONAL'S IT WAS OPERATING AT THE LOCATION REGISTERED AS THAT OF MR. POLO IS INVESTMENT FIRM
103,MR. POEHL ALSO OWNS THE FACTIONS COMPANY
104,BUT FORTY YEARS OLD MR. WING IS RELATIVELY YOUNG FOR HIS JARGON AND THAT UPSET COLLEAGUES WHO ARE USED TO THE GRADUAL PROMOTION SYSTEM BASED ON SENIORITY
105,SO MR. FRANK TELLS PEOPLE USED FIFTY
106,HIS M. B. A. T. ALSO WORK SOME COLLEAGUES WHO ARE THE CONTENTION OF SOME OF FOUR AND CONCEPTS AND ESPECIALLY THOSE THAT MAKE THEM MORE CARTER
107,STERLING SOFTWARE WHICH SAID IT AGREED TO SELL ITS COMMERCIAL PROFESSIONAL SERVICES GROUP EARNINGS FELL ONE EIGHTH TO SEVEN AND ONE EIGHTH
108,THE COMPANY SAID THE GROUP'S DOMESTIC AND INTERNATIONAL OPERATIONS WILL BE SOLD SEPARATELY
109,IT DIDN'T IDENTIFY THE BUYERS WERE DISCLOSED TERMS OF THE SALES
110,MUSCULAR DYSTROPHY HAS BAFFLED SCIENTISTS EVER SINCE G. A. B. C. U. K. AND ITS FIRST RECOGNIZED THE DISORDER IN ONE THOUSAND EIGHT HUNDRED FIFTY EIGHT
111,SINCE THE SEASON IS THE BLUEPRINT FOR A PROTEIN THAT THE DEFECT IS KNOWN TO INVOLVE A PROTEIN THAT AFFECTS MISSILES
112,BUT ATTEMPTS TO ISOLATE THE MISSING OR DEFECTIVE PROTEIN AND THE MUSCLE TISSUE OF MUSCULAR DYSTROPHY PATIENTS HAVE BEEN IMPROVED FRUSTRATING
113,NOW SEEMS IS TRYING TO MAKE ADVANCED
114,IT INVITED RESIDENTS TO JOIN A COMMITTEE TO AIR THEIR RIGHTS AGAINST THE COMPANY AND DISCUSSED SOLUTIONS
115,THE COMPANY ALSO DONATED FIFTY THOUSAND DOLLARS TO THE LOCAL ENVIRONMENTAL GROUPS TO HIRE A SPECIALIST TO EVALUATE THE COMPANY'S PLANS TO CLEAN UP CONTAMINATED SITES
116,THE CONSULTANTS NOTICED IN COMMISSIONS IN THE PLAN IS THAT NEITHER THE COMPANY NOR FEDERAL REGULATORS HAVE SUPPORTED
117,CIBA AGREED TO REMEDY THE OVERSIGHT
118,A G. EDWARDS SAYS THAT OFTEN HANDS DURING THE PAST YEAR THE SAINT LOUIS FIRM SHOWED UP AT NIGHT IN NEW YORK COMPETITORS IN THE LATEST QUARTER
119,EDWARD T. AND T. SELECTED STOCKS HAVE RELATIVELY SMALL COMPANIES TO OFFER NOT WIDELY FOLLOWED ON WALL STREET THAN THE TRADITIONAL VALUES CRITERIA
120,FOR EXAMPLE A BIT LIKE STOCKS THAT SELL AT A LOW MULTIPLE OF THE COMPANY'S BOOK VALUE OR ASSETS MINUS LIABILITIES PER SHARE
121,THE AVERAGE DIVIDEND YIELD OF ITS RECOMMENDED STOCKS AS THREE POINT SEVEN PERCENT OF THE SECOND HIGHEST IN THE GROUP AFTER SMITH BARNEY'S FOUR POINT ONE PERCENT
122,I. B. M. FELL ONE AND SEVEN EIGHTHS TO ONE HUNDRED TWENTY AND THREE EIGHTHS ON MORE THAN TWO POINT FIVE MILLION SHARES
123,FIREMAN'S SELL ITS MAJOR DEFECTS AND BERNIE REPORTEDLY JOINED THE CROWD OF WALL STREET HOUSES CUTTING THEIR NINETEEN EIGHTY SEVEN I. B. M. EARNINGS ESTIMATE
124,THE FIRM SAID IT DOESN'T COMMENT ON ITS STOCK RECOMMENDATIONS OR EARNINGS ESTIMATES
125,PROBABLY THE LARGEST CONTRIBUTORS TO THE EARNINGS UPTURN FOR MAJOR PRODUCERS IS A NEW PAY STRUCTURE WAS HAMMERED OUT AND THE HEAVILY UNIONIZED THE PACIFIC NORTHWEST
126,IN ORDER TO STAY COMPETITIVE WITH A PROLIFERATING NUMBER OF SMALL NON UNION OPERATIONS IN THE REGION TO MOST COMPANIES HAVE SUCCESSFULLY SQUEEZE SUBSTANTIAL WAGE CONCESSIONS FROM LUMBER UNIONS
127,WE'RE JUST TO GET A GOOD SIGN AND THAT MARKET WILL RESPOND
128,U. S. WARSHIPS AND HELICOPTERS TO CHASE AWAY AND IRANIAN WARSHIPS FROM A CONVOY OF FOUR A KUWAITI TANKERS IN THE PERSIAN GULF
129,IN THE SEPARATE INCIDENTS OF US DESTROY YEARS FIRED MACHINE GUN WARNING SHOTS AT TWO SMALL UNIDENTIFIED BOASTS THAT APPROACH TO THE CONTRARY
130,MR. HOLMES A COURT SAID HE PLANS TO REVIEW OF THE STRUCTURE OF BELL GROUP LIMITED
131,IT MAY BE THAT ARE STRUCTURED AND MULTIPLE CITY OF CORPORATIONS ISN'T THE MOST EFFECTIVE FOR THE FUTURE
132,NO FIRM PLANT HAS BEEN ADVISED THAT IT IS UNDER CONSIDERATION TO REVIEW THE WHOLE STRUCTURE HE SAID
133,THE PHILIPPINE MILITARY SAID IT HAD UNCOVERED A PLOT BY A COMMUNIST GUERRILLAS TO KILL A RETIRED U. S. MAJOR GENERAL SINGLE A
134,THE PLANT WAS DISCOVERED AFTER DISCLOSING THAT IT CAPTURED IN LAST WEEK'S ARREST OF TWENTY FROM BELIEVERS
135,THE REBELS HAVE ACCUSED SINGLE OF FORMING ANTI COMMUNIST OFFICIAL UNTIL GROUPS
136,EVEN THE BRILLIANT ON THE FLOOR OF THE NEW YORK STOCK EXCHANGE WAS TEMPERED BY A FEW COLUMBIA STOCK
137,THERE ARE ALWAYS SOME PESSIMISTIC AND SYNTEX SAID A FLOOR SPECIALIST
138,THERE ARE SOME GUYS HERE IS THAT ARE SAYING THIS IS THE FINAL JUDGMENT BEFORE THE CRASH
139,THERE JUST WAITING FOR THE OTHER ISSUE
140,GEORGE R. KINNEAR IS THE SECOND WAS NAMED TO THE NEW POST OF SENIOR VICE PRESIDENT IN CHARGE OF LONG RANGE PLANNING AND RELATED GOVERNMENT RELATIONS
141,HE HAD BEEN SENIOR VICE PRESIDENT OF WASHINGTON OPERATIONS FOR THE DEFENSE CONTRACTOR
142,PETER F. BARRY SUCCEEDS MR. KINNEAR AND WASHINGTON AS A VICE PRESIDENT
143,MR. BARRE HAD BEEN PRESIDENT OF HEARTLAND SYSTEMS A UNIT OF FIGGIE INTERNATIONAL INCORPORATED
144,ABBY JOSEPH COHEN A PORTFOLIO STRATEGIST AT DREXEL BURNHAM LAMBERT SAYS THE LATEST IN A BRILLIANT REACTION WAS ENTIRELY AND KEEPING WITH THE NEW MOOD ON WALL STREET
145,RESPONSES TEND TO BE MUTED
146,WE'RE SEEING A RESPONSE IN THE RIGHT DIRECTION SAYS BUT IT'S CLEARLY A TEMPERED BY NATURAL CONSERVATISM RIGHT NOW
147,I'M NOT AT ALL UNHAPPY WITH WHAT I'M SEEING
148,NOT EVERYONE BUYS THE DEATH OF THE DOLLAR HE SAYS
149,WHEN THAT RULING OUT THAT THE U. S. CURRENCY COULD DECLINE OVER TIME SAYS MR. LIPSKY OF SALOMON SAYS HE THINKS THE JURY IS STILL OUT
150,HE ARGUES THAT FRIDAY'S UNEMPLOYMENT FIGURE IS UNDERMINED THAT THE SYSTEM IS SHARPLY SLOWING ECONOMY
151,HE ALSO SAYS THAT THE AUTHORITIES MEAN WHAT THEY SAY THAT THEY WILL NOT STAND ASIDE AND LET CURRENCY HAS REACHED NEW LOWS AS THE POST ELECTION
152,MR. MARGOLIS SAID IT THAT IN ORDER TO MARKET THESE AND OTHER DRUGS AMERICAN PLANS TO INCREASE ITS SALES FORCE BY FIVE HUNDRED THIS YEAR
153,SUCH JOBS ARE SEEING IS THE PLUM OF THE INDUSTRY BUT BECAUSE OF MARX EXTENSIVE LINE OF PRODUCTS
154,THE PINK SHEET A DRUG INDUSTRY TRADE LETTERS IT REPORTED THIS WEEK THAT MARK AND TWENTY EIGHT THOUSAND APPLICATIONS FOR THE OPENINGS
155,I. B. M. FELL ONE AND SEVEN EIGHTHS TO ONE HUNDRED TWENTY AND THREE EIGHTHS ON MORE THAN TWO POINT FIVE MILLION SHARES
156,FOR MONTHS DELTA'S MARGARET DIETZ AND BURNING REPORTEDLY JOINED THE CROWD OF WALL STREET HOUSES CUTTING THEIR NINETEEN EIGHTY SEVEN I. B. M. EARNINGS ESTIMATE
157,THE FIRM SAID IT DOESN'T COMMENT ON ITS STOCK RECOMMENDATIONS FOR EARNINGS ESTIMATES
158,TRADERS INSIST THAT UNEXPECTED INJECTION OF LIQUIDITY FROM INVESTMENT TRUSTS AND OTHER INSTITUTIONS WILL HELP BOOST SHARE PRICES LATER IN THE WEEK
159,SOME INVESTORS ARE PREPARING FOR A SHORT TERM CORRECTION THIS MONTH ALTHOUGH MOST BELIEVE THAT IT WON'T BE SIGNIFICANT
160,HOWEVER HAS SUGGESTED LATER IN THE ARTICLE THE EMPLOYER MAY RESPOND WITH A FOUR COUNT AND DISCONTINUE MONTHS OF PLAYING
161,ONLY A FEW STATES REQUIRE UNEMPLOYMENT COMPENSATION FOR LOCKED OUT WORKERS
162,FOR SUCH GROUP RAISED ITS COVERAGE EMPLOYERS CAN CHARGED THE FORMER WORKERS AND THEIR FAMILIES THE AVERAGE COST OF PROVIDING THE HEALTH BENEFITS PLUS A TWO PERCENT ADMINISTRATIVE FEE
163,IN MOST CASES THAT STILL WOULD BE LESS THAN THEY WOULD PAY FOR A CHANGE IN COVERAGE ON THEIR OWN
164,BUT SOME MAY BE BETTER OFF LOOKING FOR INSURANCE OUTSIDE THE EMPLOYER'S CONTINUED GROUP RATE PLAN
165,HOWEVER IN LIGHT OF THE STATE'S ALREADY HELD BY THE VARIOUS FACTIONS IN ONLY ABOUT TEN PERCENT OF GENERALE DE BELGIQUE'S SHARES APPEARED TO BE AVAILABLE ON THE MARKET
166,THIS MEANS THAT FOR MR. DE BENEDETTI TO INCREASE HIS STAKE BY FIFTEEN PERCENT TO SIX MEMBERS OF MR. A LICENSE AGREEMENT WOULD HAVE TO SELL TO HIM
167,SOME SOURCES SAID SOME OF THE LESS TRADITIONAL HOLDERS OF GENERALE DE BELGIQUE SHARES COULD BE TEMPTED BY THE PROSPECT OF CAPITAL GAINS
168,REGARDLESS OF THE OUTCOME OF ANY MEETINGS WITH GILLETTE AND CONISTON SEEMS ALMOST CERTAIN TO NOMINATE ITS OWN SLATE OF DIRECTORS SOMETIME NEXT WEEK
169,A DEADLINE FOR DOING SO IN FEBRUARY TWENTY FIRST A FEW MONTHS BEFORE GILLETTE'S APRIL TWENTY FIRST ANNUAL MEETING
170,THUS IN ORDER TO PRESERVE ITS RIGHT TO LAUNCH A PROXY FIGHT WITH CONISTON WOULD NEED TO NOMINATE ITS LIGHT BY FRIDAY IN FEBRUARY NINETEENTH
171,BIDS TOTALING SIX HUNDRED FIFTY ONE MILLION DOLLARS WERE SUBMITTED
172,A BANK HOLDING COMPANY SLATED ANOTHER FIFTY MILLION DOLLAR SALE FOR NEXT TUESDAY
173,IN JANUARY THE ARAB EXPECTING THE MIDEAST EXPERT MR. MARKS UP ZERO FIVE TO TAKE CHARGE OF THE DELEGATION
174,HIS CREDENTIALS SUGGESTED THAT THE SOVIETS MIGHT HARBOR MORE INTEREST IN DIPLOMACY AND REAL ESTATE
175,IF THE SOVIETS DECIDE TO CHANGE THE NATURE OF THE MISSION OF THE NOW HAVE THE RIGHT TO GO HERE SAYS THE ISRAELI OFFICIAL
176,NOW IT SEEMS IS TRYING TO MAKE DEMANDS
177,IT INVITED RESIDENTS TO JOIN A COMMITTEE TO AIR THEIR DRIVERS AGAINST THE COMPANY AND DISCUSS SOLUTIONS
178,THE COMPANY ALSO DONATED FIFTY THOUSAND DOLLARS TO A LOCAL ENVIRONMENTAL GROUPS TO HIRE SPECIALIST TO EVALUATE THE COMPANY'S PLANS TO CLEAN UP CONTAMINATED SITES
179,THE CONSULTANTS NOTICED AND A MISSION IN THE PLANTS THAT NEITHER THE COMPANY NOR THE FEDERAL REGULATORS HAD SUPPORTED
180,SEPARATELY MOODY'S INVESTORS SERVICE INCORPORATED SAID IT PLACED C. S. X. AND ITS TRANSPORTATION SUBSIDIARY IS ON REVIEW FOR POSSIBLE DOWNGRADE BECAUSE OF C. S. X.'S RESTRUCTURING PLAN
181,THE RATING CONCERN ALSO PLACED THE SINGLE A TWO SENIOR DEBT RATING OF C. S. X.'S TEXAS GAS TRANSMISSION UNIT UNDER REVIEW BUT WITH DIRECTION UNCERTAIN
182,ABOUT ONE POINT FIVE BILLION DOLLARS OF DEBT IS UNDER REVIEW
183,BUT LIKE A LITTLE FURTHER THERE ARE WAYS AROUND HIRING FREEZES
184,IN A LOCAL PLANTS IN THE MANUFACTURING MANAGER NEEDED ANOTHER FOUR MONTHS OF SALARIED POSITIONS BUT THERE WAS A FREEZE ON HIRING SALARIED PERSONNEL
185,SO WHEN THE OPERATOR WAS PROMOTED TO FOUR MONTHS BUT MAINTAINED THAT ON THE REALLY PLAY A ROLE
186,NOT EVERYONE BUYS THE DEATH OF THE DOLLAR IS HE SAYS
187,WHILE NOT RULING OUT THAT THE U. S. CURRENCY COULD DECLINE OVER TIME SAYS MR. LIPSKY OF SALOMON SAYS HE THINKS THE JURY IS STILL OUT
188,HE ARGUES THAT FRIDAY'S UNEMPLOYMENT FIGURES UNDERMINED THE ASSISTANCE OF A SHARPLY SLOWING ECONOMY
189,HE ALSO SAYS THAT THE AUTHORITIES MEAN WHAT THEY SAY THAT THEY WILL NOT STAND ASIDE AND LET CURRENCIES REACHED NEW LOWS AS THE POST ELECTION
